name,price,unit_price,district_code,segment,type,area,level,remaining_years,date
DOVER PARKVIEW,1020000,1053,5,RCR,Resale,969,06 to 10,73.0,Sep-19
CORALS AT KEPPEL BAY,1880000,2239,4,RCR,Resale,840,06 to 10,87.0,Sep-19
QUEENS PEAK,2500000,1659,3,RCR,New Sale,1507,26 to 30,95.0,Sep-19
TANGLIN VIEW,1580000,1385,3,RCR,Resale,1141,11 to 15,77.0,Sep-19
THE FOLIAGE,1360000,1181,5,RCR,Resale,1152,01 to 05,999.0,Sep-19
CORALS AT KEPPEL BAY,1955000,2112,4,RCR,Resale,926,06 to 10,87.0,Sep-19
TANGLIN VIEW,1530000,1316,3,RCR,Resale,1163,11 to 15,77.0,Sep-19
HERITAGE VIEW,1360000,1128,5,RCR,Resale,1206,01 to 05,76.0,Sep-19
REFLECTIONS AT KEPPEL BAY,2175785,1579,4,RCR,Resale,1378,01 to 05,86.0,Sep-19
THE TRILINQ,1600000,1443,5,OCR,Resale,1109,06 to 10,92.0,Sep-19
WESTCOVE CONDOMINIUM,970000,875,5,OCR,Resale,1109,06 to 10,75.0,Sep-19
CARIBBEAN AT KEPPEL BAY,1400000,1567,4,RCR,Resale,893,01 to 05,79.0,Sep-19
DOMAIN 21,1820000,1421,3,RCR,Resale,1281,06 to 10,84.0,Sep-19
HERITAGE VIEW,1360000,1138,5,RCR,Resale,1195,01 to 05,76.0,Sep-19
BLUE HORIZON,1240000,1067,5,OCR,Resale,1163,11 to 15,80.0,Sep-19
THE STELLAR,1850000,1102,5,OCR,Resale,1679,01 to 05,999.0,Sep-19
THE CREST,1250000,2037,3,RCR,Resale,614,01 to 05,92.0,Sep-19
THE INTERLACE,1200000,1486,4,RCR,Resale,807,06 to 10,89.0,Sep-19
REFLECTIONS AT KEPPEL BAY,2100545,1549,4,RCR,Resale,1356,01 to 05,86.0,Sep-19
HERITAGE VIEW,1810000,1201,5,RCR,Resale,1507,11 to 15,76.0,Sep-19
THE ANCHORAGE,2600000,1421,3,RCR,Resale,1830,11 to 15,999.0,Sep-19
SPOTTISWOODE RESIDENCES,998888,1687,2,RCR,Resale,592,11 to 15,999.0,Sep-19
REFLECTIONS AT KEPPEL BAY,3000000,1575,4,RCR,Resale,1905,11 to 15,86.0,Sep-19
REFLECTIONS AT KEPPEL BAY,2152985,1563,4,RCR,Resale,1378,01 to 05,86.0,Sep-19
THE CREST,1270000,2070,3,RCR,Resale,614,01 to 05,92.0,Sep-19
SPOTTISWOODE RESIDENCES,1015000,1714,2,RCR,Resale,592,06 to 10,999.0,Sep-19
THE CREST,2077020,2010,3,RCR,Resale,1033,21 to 25,92.0,Sep-19
BOTANNIA,1800000,1130,5,OCR,Resale,1593,01 to 05,865.0,Sep-19
CARIBBEAN AT KEPPEL BAY,1900000,1548,4,RCR,Resale,1227,06 to 10,79.0,Sep-19
ECHELON,2420000,1874,3,RCR,Resale,1292,36 to 40,92.0,Sep-19
CORALS AT KEPPEL BAY,1880000,2130,4,RCR,Resale,883,06 to 10,87.0,Aug-19
THE CREST,1330000,2094,3,RCR,Resale,635,06 to 10,92.0,Aug-19
REFLECTIONS AT KEPPEL BAY,2188000,1588,4,RCR,Resale,1378,01 to 05,86.0,Aug-19
THE METROPOLITAN CONDOMINIUM,2680000,1537,3,RCR,Resale,1744,36 to 40,86.0,Aug-19
REFLECTIONS AT KEPPEL BAY,3335260,1844,4,RCR,Resale,1808,01 to 05,86.0,Aug-19
BOTANNIA,1950000,1224,5,OCR,Resale,1593,06 to 10,865.0,Aug-19
REFLECTIONS AT KEPPEL BAY,2046680,1639,4,RCR,Resale,1249,06 to 10,86.0,Aug-19
REFLECTIONS AT KEPPEL BAY,2051145,1575,4,RCR,Resale,1302,01 to 05,86.0,Aug-19
REFLECTIONS AT KEPPEL BAY,1969920,1578,4,RCR,Resale,1249,01 to 05,86.0,Aug-19
BANYAN CONDOMINIUM,1520000,1239,5,RCR,Resale,1227,01 to 05,999.0,Aug-19
CORALS AT KEPPEL BAY,1898000,2261,4,RCR,Resale,840,06 to 10,87.0,Aug-19
THE REGENCY AT TIONG BAHRU,2350000,1850,3,RCR,Resale,1270,21 to 25,999.0,Aug-19
QUEENS PEAK,1839000,1837,3,RCR,New Sale,1001,36 to 40,95.0,Aug-19
THE PARC CONDOMINIUM,1385000,1414,5,OCR,Resale,980,21 to 25,999.0,Aug-19
CENTRAL GREEN CONDOMINIUM,1750000,1355,3,RCR,Resale,1292,06 to 10,72.0,Aug-19
THE PARC CONDOMINIUM,1750000,1153,5,OCR,Resale,1518,01 to 05,999.0,Aug-19
DOVER PARKVIEW,1070000,1143,5,RCR,Resale,936,11 to 15,73.0,Aug-19
REFLECTIONS AT KEPPEL BAY,3187200,1886,4,RCR,Resale,1690,06 to 10,86.0,Aug-19
THE CREST,1702000,2108,3,RCR,Resale,807,06 to 10,92.0,Aug-19
COMMONWEALTH TOWERS,1370000,1818,3,RCR,Resale,753,16 to 20,93.0,Aug-19
SEAHILL,705000,1394,5,OCR,Resale,506,01 to 05,91.0,Aug-19
REFLECTIONS AT KEPPEL BAY,3362335,1765,4,RCR,Resale,1905,01 to 05,86.0,Aug-19
MARINA BAY SUITES,3030000,1864,1,CCR,Resale,1625,36 to 40,87.0,Aug-19
REFLECTIONS AT KEPPEL BAY,2980340,1678,4,RCR,Resale,1776,06 to 10,86.0,Aug-19
REFLECTIONS AT KEPPEL BAY,2244000,1629,4,RCR,Resale,1378,06 to 10,86.0,Aug-19
TANGLIN VIEW,1168000,1340,3,RCR,Resale,872,06 to 10,77.0,Aug-19
BLUE HORIZON,1140000,937,5,OCR,Resale,1216,01 to 05,80.0,Aug-19
PARC IMPERIAL,660000,1657,5,RCR,Resale,398,01 to 05,999.0,Aug-19
SEAHILL,875000,1270,5,OCR,Resale,689,16 to 20,91.0,Aug-19
THE COAST AT SENTOSA COVE,4750000,1640,4,CCR,Resale,2896,06 to 10,86.0,Aug-19
QUEENS,1550000,1309,3,RCR,Resale,1184,26 to 30,78.0,Aug-19
THE MAYLEA,1580000,1288,5,RCR,Resale,1227,01 to 05,999.0,Aug-19
THE PEARL @ MOUNT FABER,1598888,1151,4,RCR,Resale,1389,06 to 10,82.0,Aug-19
HARBOUR VIEW TOWERS,1925000,1192,4,RCR,Resale,1615,21 to 25,70.0,Aug-19
