name,price,unit_price,district_code,segment,type,area,level,remaining_years,date 
FERRARIA PARK CONDOMINIUM,1320000,973,17,OCR,Resale,1356,01 to 05,999.0,May-18
WATERFRONT GOLD,1570000,1140,16,OCR,Resale,1378,06 to 10,90.0,May-18
SEA ESTA,700000,1084,18,OCR,Resale,646,06 to 10,93.0,May-18
CHANGI RISE CONDOMINIUM,1300000,869,18,OCR,Resale,1496,06 to 10,81.0,May-18
D'NEST,1285000,1020,18,OCR,Resale,1259,01 to 05,91.0,May-18
RIS GRANDEUR,1210000,937,18,OCR,Resale,1292,06 to 10,999.0,May-18
THE TAPESTRY,1271700,1284,18,OCR,New Sale,990,06 to 10,98.0,May-18
LIVIA,1980000,796,18,OCR,Resale,2486,11 to 15,89.0,May-18
THE TAPESTRY,1012500,1470,18,OCR,New Sale,689,11 to 15,98.0,May-18
DOUBLE BAY RESIDENCES,1360000,1071,18,OCR,Resale,1270,06 to 10,89.0,May-18
MELVILLE PARK,715000,746,18,OCR,Resale,958,06 to 10,73.0,May-18
MY MANHATTAN,1150000,1335,18,OCR,Resale,861,06 to 10,91.0,May-18
RIO VISTA,970000,777,19,OCR,Resale,1249,06 to 10,82.0,May-18
RIO VISTA,1080000,865,19,OCR,Resale,1249,16 to 20,82.0,May-18
RIO VISTA,950000,767,19,OCR,Resale,1238,06 to 10,82.0,May-18
PALM GROVE CONDOMINIUM,1500000,1152,19,OCR,Resale,1302,01 to 05,859.0,May-18
RIVER ISLES,1550000,923,19,OCR,Resale,1679,01 to 05,93.0,May-18
COUNTRY GRANDEUR,1928000,1337,20,RCR,Resale,1442,16 to 20,999.0,May-18
COCO PALMS,2163160,1241,18,OCR,New Sale,1744,01 to 05,89.0,May-18
THE TAPESTRY,1266030,1278,18,OCR,New Sale,990,06 to 10,98.0,May-18
THE TAPESTRY,645570,1463,18,OCR,New Sale,441,01 to 05,98.0,May-18
THE TAPESTRY,1254690,1267,18,OCR,New Sale,990,06 to 10,98.0,May-18
THE TAPESTRY,1208800,1221,18,OCR,New Sale,990,06 to 10,98.0,May-18
THE TAPESTRY,792800,1315,18,OCR,New Sale,603,01 to 05,98.0,May-18
THE TROPICA,1435000,945,18,OCR,Resale,1518,06 to 10,77.0,May-18
THE TAPESTRY,804800,1335,18,OCR,New Sale,603,06 to 10,98.0,May-18
THE TAPESTRY,1730970,1209,18,OCR,New Sale,1432,06 to 10,98.0,May-18
THE MINTON,1080000,993,19,OCR,Resale,1087,01 to 05,88.0,May-18
AQUARIUS BY THE PARK,1200000,978,16,OCR,Resale,1227,11 to 15,77.0,May-18
COSTA DEL SOL,1680000,1357,16,OCR,Resale,1238,26 to 30,78.0,May-18
PARBURY HILL CONDOMINIUM,1900000,1288,16,OCR,Resale,1475,01 to 05,999.0,May-18
THE CLEARWATER,1180000,884,16,OCR,Resale,1335,01 to 05,78.0,May-18
GRANDEUR PARK RESIDENCES,1273112,1425,16,OCR,New Sale,893,01 to 05,97.0,May-18
THE INFLORA,990000,958,17,OCR,Resale,1033,01 to 05,93.0,May-18
PARC OLYMPIA,1020000,877,17,OCR,Resale,1163,01 to 05,93.0,May-18
DAHLIA PARK CONDOMINIUM,1020000,803,17,OCR,Resale,1270,01 to 05,999.0,May-18
CHANGI COURT,1220000,1049,16,OCR,Resale,1163,01 to 05,999.0,May-18
BAYSHORE PARK,980000,1046,16,OCR,Resale,936,11 to 15,63.0,May-18
RIPPLE BAY,1099888,946,18,OCR,Resale,1163,06 to 10,92.0,May-18
SEA ESTA,706000,1093,18,OCR,Resale,646,06 to 10,93.0,May-18
THE TAPESTRY,643950,1459,18,OCR,New Sale,441,06 to 10,98.0,May-18
THE CHUAN,1905000,1487,19,OCR,Resale,1281,11 to 15,858.0,May-18
RIVERSAILS,2218000,851,19,OCR,Resale,2605,16 to 20,92.0,May-18
THE MINTON,1010000,1031,19,OCR,Resale,980,06 to 10,88.0,May-18
THE TAPESTRY,1146400,1158,18,OCR,New Sale,990,01 to 05,98.0,May-18
THE MINTON,956000,976,19,OCR,Resale,980,01 to 05,88.0,May-18
THE QUARTZ,1030000,967,19,OCR,Resale,1066,11 to 15,86.0,May-18
UBER 388,1700000,1436,16,OCR,Resale,1184,01 to 05,999.0,May-18
BAYSHORE PARK,1080000,1003,16,OCR,Resale,1076,01 to 05,63.0,May-18
PARC OLYMPIA,1055000,908,17,OCR,Resale,1163,01 to 05,93.0,May-18
EDELWEISS PARK CONDOMINIUM,690000,833,17,OCR,Resale,829,01 to 05,999.0,May-18
TANAMERA CREST,980000,820,16,OCR,Resale,1195,06 to 10,81.0,May-18
SAVANNAH CONDOPARK,1280000,881,18,OCR,Resale,1453,06 to 10,81.0,May-18
THE TAPESTRY,665010,1507,18,OCR,New Sale,441,06 to 10,98.0,May-18
THE TAPESTRY,848800,1408,18,OCR,New Sale,603,06 to 10,98.0,May-18
EASTPOINT GREEN,897000,786,18,OCR,Resale,1141,01 to 05,77.0,May-18
THE WATERLINE,1300000,1108,19,OCR,Resale,1173,01 to 05,999.0,May-18
PARC CENTROS,1650000,964,19,OCR,Resale,1711,01 to 05,93.0,May-18
Q BAY RESIDENCES,960000,1062,18,OCR,Resale,904,06 to 10,93.0,May-18
THOMSON GRAND,1580000,1165,20,RCR,Resale,1356,01 to 05,91.0,May-18
GOLDENHILL PARK CONDOMINIUM,1968000,1474,20,OCR,Resale,1335,01 to 05,999.0,May-18
RIO VISTA,1050000,841,19,OCR,Resale,1249,06 to 10,82.0,May-18
THE BAYSHORE,880000,879,16,OCR,Resale,1001,01 to 05,74.0,May-18
EAST MEADOWS,1143000,940,16,OCR,Resale,1216,01 to 05,79.0,May-18
NV RESIDENCES,845000,1061,18,OCR,Resale,797,11 to 15,89.0,May-18
RIPPLE BAY,1330000,1144,18,OCR,Resale,1163,11 to 15,92.0,May-18
THE TROPICA,1230000,816,18,OCR,Resale,1507,01 to 05,77.0,May-18
SEASTRAND,875000,991,18,OCR,Resale,883,11 to 15,92.0,May-18
THE TAPESTRY,694980,1467,18,OCR,New Sale,474,11 to 15,98.0,May-18
THE TAPESTRY,872370,1447,18,OCR,New Sale,603,01 to 05,98.0,May-18
LIVIA,1100000,831,18,OCR,Resale,1324,11 to 15,89.0,May-18
THE TAPESTRY,715230,1510,18,OCR,New Sale,474,06 to 10,98.0,May-18
TERRASSE,938000,1162,19,OCR,Resale,807,01 to 05,91.0,May-18
KOVAN RESIDENCES,1210000,1371,19,OCR,Resale,883,11 to 15,88.0,May-18
MODENA,1421000,930,18,OCR,Resale,1528,01 to 05,78.0,May-18
THOMSON GRAND,2180000,1387,20,RCR,Resale,1572,16 to 20,91.0,May-18
SKY VUE,868000,1753,20,RCR,Resale,495,21 to 25,94.0,May-18
SKY VUE,1235000,1550,20,RCR,Resale,797,06 to 10,94.0,May-18
SUNGLADE,1285000,1231,19,OCR,Resale,1044,06 to 10,81.0,May-18
EAST MEADOWS,1160000,971,16,OCR,Resale,1195,06 to 10,79.0,May-18
PARC CENTROS,1150000,1161,19,OCR,Resale,990,11 to 15,93.0,May-18
COUNTRY PARK CONDOMINIUM,1950000,1132,16,OCR,Resale,1722,01 to 05,999.0,May-18
BAYSHORE PARK,1160000,1239,16,OCR,Resale,936,11 to 15,63.0,May-18
THE GALE,969000,958,17,OCR,Resale,1012,06 to 10,999.0,May-18
LIGHTHOUSE,1750000,598,17,OCR,Resale,2928,01 to 05,74.0,May-18
FERRARIA PARK CONDOMINIUM,1220000,900,17,OCR,Resale,1356,06 to 10,999.0,May-18
D'NEST,1439000,1133,18,OCR,Resale,1270,11 to 15,91.0,May-18
THE PALETTE,648000,1281,18,OCR,Resale,506,01 to 05,91.0,May-18
THE TAPESTRY,1244000,1256,18,OCR,New Sale,990,01 to 05,98.0,May-18
LA FIESTA,890000,1216,19,OCR,Resale,732,01 to 05,93.0,May-18
A TREASURE TROVE,1410000,1008,19,OCR,Resale,1399,01 to 05,92.0,May-18
CENTRAL VIEW,860000,878,19,OCR,Resale,980,06 to 10,79.0,May-18
SUNHAVEN,1250000,993,16,OCR,Resale,1259,01 to 05,999.0,May-18
COSTA DEL SOL,2638000,1504,16,OCR,Resale,1755,21 to 25,78.0,May-18
RIS GRANDEUR,2050000,622,18,OCR,Resale,3294,16 to 20,999.0,May-18
MODENA,1600000,947,18,OCR,Resale,1690,06 to 10,78.0,May-18
THE TAPESTRY,796800,1322,18,OCR,New Sale,603,01 to 05,98.0,May-18
PARC CENTROS,910000,1191,19,OCR,Resale,764,01 to 05,93.0,May-18
PARC VERA,1180000,1034,19,OCR,Resale,1141,11 to 15,91.0,May-18
RIVERSOUND RESIDENCE,1080000,1013,19,OCR,Resale,1066,11 to 15,92.0,May-18
CENTRAL VIEW,1030000,854,19,OCR,Resale,1206,11 to 15,79.0,May-18
SKY VUE,1150000,1696,20,RCR,Resale,678,01 to 05,94.0,May-18
THOMSON GRAND,1450000,1531,20,RCR,Resale,947,16 to 20,91.0,May-18
SKY HABITAT,1865900,1548,20,RCR,Resale,1206,11 to 15,92.0,May-18
SKY VUE,1150800,1697,20,RCR,Resale,678,11 to 15,94.0,May-18
KOVAN RESIDENCES,1600000,1249,19,OCR,Resale,1281,11 to 15,88.0,May-18
THE TAPESTRY,669870,1414,18,OCR,New Sale,474,01 to 05,98.0,May-18
THE TAPESTRY,941600,1367,18,OCR,New Sale,689,06 to 10,98.0,May-18
THE TAPESTRY,701460,1481,18,OCR,New Sale,474,11 to 15,98.0,May-18
FOREST WOODS,1898000,1520,19,OCR,New Sale,1249,11 to 15,97.0,May-18
THE TAPESTRY,880470,1461,18,OCR,New Sale,603,01 to 05,98.0,May-18
THE TAPESTRY,1520370,1345,18,OCR,New Sale,1130,11 to 15,98.0,May-18
THE TAPESTRY,895860,1486,18,OCR,New Sale,603,11 to 15,98.0,May-18
THE TAPESTRY,691740,1461,18,OCR,New Sale,474,11 to 15,98.0,May-18
THE TAPESTRY,728190,1538,18,OCR,New Sale,474,11 to 15,98.0,May-18
THE SANTORINI,1380000,1198,18,OCR,New Sale,1152,11 to 15,94.0,May-18
THE TAPESTRY,937600,1361,18,OCR,New Sale,689,06 to 10,98.0,May-18
THE TAPESTRY,750870,1246,18,OCR,New Sale,603,11 to 15,98.0,May-18
THE TAPESTRY,685260,1447,18,OCR,New Sale,474,11 to 15,98.0,May-18
THE TAPESTRY,731430,1544,18,OCR,New Sale,474,11 to 15,98.0,May-18
THE TAPESTRY,655290,1485,18,OCR,New Sale,441,01 to 05,98.0,May-18
RIVERSOUND RESIDENCE,925000,1023,19,OCR,Resale,904,06 to 10,92.0,May-18
THE BAYSHORE,920000,939,16,OCR,Resale,980,06 to 10,74.0,May-18
EDELWEISS PARK CONDOMINIUM,786000,830,17,OCR,Resale,947,06 to 10,999.0,May-18
ESTELLA GARDENS,900000,789,17,OCR,Resale,1141,06 to 10,999.0,May-18
PARC OLYMPIA,850000,831,17,OCR,Resale,1023,01 to 05,93.0,May-18
THE EDGEWATER,1050000,863,17,OCR,Resale,1216,01 to 05,999.0,May-18
AVILA GARDENS,1050000,806,17,OCR,Resale,1302,01 to 05,999.0,May-18
URBAN VISTA,660000,1495,16,OCR,Resale,441,06 to 10,93.0,May-18
WATERVIEW,960888,1038,18,OCR,Resale,926,06 to 10,91.0,May-18
MELVILLE PARK,820000,680,18,OCR,Resale,1206,01 to 05,73.0,May-18
DOUBLE BAY RESIDENCES,1320000,1048,18,OCR,Resale,1259,01 to 05,89.0,May-18
JEWEL @ BUANGKOK,660000,1394,19,OCR,Resale,474,06 to 10,93.0,May-18
JEWEL @ BUANGKOK,953000,1230,19,OCR,Resale,775,06 to 10,93.0,May-18
MELVILLE PARK,940000,699,18,OCR,Resale,1346,01 to 05,73.0,May-18
SKY HABITAT,2091500,1506,20,RCR,Resale,1389,11 to 15,92.0,May-18
BISHAN 8,1360000,1170,20,RCR,Resale,1163,01 to 05,77.0,May-18
THE QUARTZ,1125000,986,19,OCR,Resale,1141,01 to 05,86.0,May-18
COSTA DEL SOL,1300000,1372,16,OCR,Resale,947,01 to 05,78.0,May-18
COSTA DEL SOL,1820000,1375,16,OCR,Resale,1324,26 to 30,78.0,May-18
WATERFRONT KEY,1125000,1244,16,OCR,Resale,904,06 to 10,88.0,May-18
TROPICAL SPRING,1700000,882,18,OCR,Resale,1927,01 to 05,78.0,May-18
CHANGI RISE CONDOMINIUM,1020000,810,18,OCR,Resale,1259,01 to 05,81.0,May-18
CHANGI RISE CONDOMINIUM,998000,792,18,OCR,Resale,1259,01 to 05,81.0,May-18
SEASTRAND,615000,1039,18,OCR,Resale,592,11 to 15,92.0,May-18
NV RESIDENCES,1140000,963,18,OCR,Resale,1184,06 to 10,89.0,May-18
SAVANNAH CONDOPARK,2100000,784,18,OCR,Resale,2680,06 to 10,81.0,May-18
D'NEST,1039000,1109,18,OCR,Resale,936,01 to 05,91.0,May-18
THE TAPESTRY,1703430,1190,18,OCR,New Sale,1432,06 to 10,98.0,May-18
THE TAPESTRY,1749600,1222,18,OCR,New Sale,1432,01 to 05,98.0,May-18
THE TAPESTRY,1776330,1241,18,OCR,New Sale,1432,11 to 15,98.0,May-18
THE MINTON,988000,1009,19,OCR,Resale,980,11 to 15,88.0,May-18
THE QUARTZ,1260000,992,19,OCR,Resale,1270,16 to 20,86.0,May-18
MELVILLE PARK,730000,754,18,OCR,Resale,969,01 to 05,73.0,May-18
GRANDEUR 8,1210000,986,20,OCR,Resale,1227,01 to 05,83.0,May-18
THE GARDENS AT BISHAN,888000,1006,20,RCR,Resale,883,01 to 05,78.0,May-18
FLAME TREE PARK,2200000,1246,20,RCR,Resale,1765,11 to 15,999.0,May-18
URBAN VISTA,1230000,1446,16,OCR,Resale,850,06 to 10,93.0,May-18
GRANDEUR PARK RESIDENCES,1857000,1500,16,OCR,New Sale,1238,01 to 05,97.0,May-18
HEDGES PARK CONDOMINIUM,958000,881,17,OCR,Resale,1087,01 to 05,91.0,May-18
ESTELLA GARDENS,858000,916,17,OCR,Resale,936,01 to 05,999.0,May-18
DAHLIA PARK CONDOMINIUM,1250000,812,17,OCR,Resale,1539,06 to 10,999.0,May-18
AVILA GARDENS,1080000,843,17,OCR,Resale,1281,06 to 10,999.0,May-18
COSTA DEL SOL,1838000,1041,16,OCR,Resale,1765,01 to 05,78.0,May-18
WATERFRONT ISLE,1400000,1204,16,OCR,Resale,1163,01 to 05,90.0,May-18
WATERVIEW,966000,1044,18,OCR,Resale,926,11 to 15,91.0,May-18
LIVIA,1400000,910,18,OCR,Resale,1539,06 to 10,89.0,May-18
THE TAPESTRY,1716390,1199,18,OCR,New Sale,1432,06 to 10,98.0,May-18
OASIS @ ELIAS,835000,852,18,OCR,Resale,980,11 to 15,89.0,May-18
THE TAPESTRY,971190,1388,18,OCR,New Sale,700,01 to 05,98.0,May-18
BOATHOUSE RESIDENCES,1067000,991,19,OCR,Resale,1076,01 to 05,92.0,May-18
PARC CENTROS,1900000,1132,19,OCR,Resale,1679,01 to 05,93.0,May-18
KOVAN REGENCY,740000,1463,19,OCR,Resale,506,01 to 05,93.0,May-18
RIPPLE BAY,1078000,1012,18,OCR,Resale,1066,01 to 05,92.0,May-18
THE GARDENS AT BISHAN,1257000,1091,20,RCR,Resale,1152,01 to 05,78.0,May-18
THE TAPESTRY,721710,1524,18,OCR,New Sale,474,11 to 15,98.0,May-18
THE TAPESTRY,1843560,1142,18,OCR,New Sale,1615,11 to 15,98.0,May-18
THE TAPESTRY,1031130,1260,18,OCR,New Sale,818,11 to 15,98.0,May-18
THE TEMBUSU,1368000,1816,19,OCR,Resale,753,16 to 20,999.0,Apr-18
BREEZE BY THE EAST,2300000,1125,16,OCR,Resale,2045,01 to 05,999.0,Apr-18
THE BAYSHORE,920000,994,16,OCR,Resale,926,06 to 10,74.0,Apr-18
FERRARIA PARK CONDOMINIUM,1128000,944,17,OCR,Resale,1195,01 to 05,999.0,Apr-18
THE TAPESTRY,609120,1380,18,OCR,New Sale,441,01 to 05,98.0,Apr-18
MELVILLE PARK,715000,764,18,OCR,Resale,936,06 to 10,73.0,Apr-18
FERRARIA PARK CONDOMINIUM,1090000,912,17,OCR,Resale,1195,06 to 10,999.0,Apr-18
MY MANHATTAN,1210000,1292,18,OCR,Resale,936,06 to 10,91.0,Apr-18
THE PALETTE,950000,1076,18,OCR,Resale,883,01 to 05,91.0,Apr-18
THE TAPESTRY,1338120,1351,18,OCR,New Sale,990,11 to 15,98.0,Apr-18
THE ALPS RESIDENCES,1196000,1277,18,OCR,New Sale,936,11 to 15,96.0,Apr-18
NV RESIDENCES,850000,940,18,OCR,Resale,904,11 to 15,89.0,Apr-18
Q BAY RESIDENCES,841888,1057,18,OCR,Resale,797,01 to 05,93.0,Apr-18
RIVER ISLES,1050000,975,19,OCR,Resale,1076,06 to 10,93.0,Apr-18
PARC VERA,790000,1112,19,OCR,Resale,710,11 to 15,91.0,Apr-18
RIVER ISLES,1136000,1066,19,OCR,Resale,1066,16 to 20,93.0,Apr-18
BOATHOUSE RESIDENCES,870000,974,19,OCR,Resale,893,01 to 05,92.0,Apr-18
THE QUARTZ,1050000,985,19,OCR,Resale,1066,06 to 10,86.0,Apr-18
PEIRCE VIEW,1238000,966,20,OCR,Resale,1281,01 to 05,999.0,Apr-18
GOLDENHILL PARK CONDOMINIUM,2000000,1523,20,OCR,Resale,1313,11 to 15,999.0,Apr-18
GRANDEUR 8,1220000,1003,20,OCR,Resale,1216,11 to 15,83.0,Apr-18
RIVERSAILS,900000,1058,19,OCR,Resale,850,01 to 05,92.0,Apr-18
THE MINTON,1060000,975,19,OCR,Resale,1087,01 to 05,88.0,Apr-18
THE TAPESTRY,794400,1318,18,OCR,New Sale,603,01 to 05,98.0,Apr-18
THE TAPESTRY,875610,1453,18,OCR,New Sale,603,06 to 10,98.0,Apr-18
THE TAPESTRY,652050,1477,18,OCR,New Sale,441,01 to 05,98.0,Apr-18
THE TAPESTRY,711990,1503,18,OCR,New Sale,474,06 to 10,98.0,Apr-18
THE TAPESTRY,701460,1481,18,OCR,New Sale,474,11 to 15,98.0,Apr-18
THE TAPESTRY,1008450,1464,18,OCR,New Sale,689,11 to 15,98.0,Apr-18
THE LUXURIE,960000,1025,19,OCR,Resale,936,11 to 15,92.0,Apr-18
BAYSHORE PARK,972000,1038,16,OCR,Resale,936,01 to 05,63.0,Apr-18
SUNHAVEN,1280000,975,16,OCR,Resale,1313,01 to 05,999.0,Apr-18
CASA PASIR RIS,1500888,614,17,OCR,Resale,2443,01 to 05,866.0,Apr-18
WATERFRONT KEY,1380000,1125,16,OCR,Resale,1227,11 to 15,88.0,Apr-18
TANAMERA CREST,1165000,731,16,OCR,Resale,1593,01 to 05,81.0,Apr-18
EASTPOINT GREEN,760000,793,18,OCR,Resale,958,06 to 10,77.0,Apr-18
NV RESIDENCES,845000,801,18,OCR,Resale,1055,01 to 05,89.0,Apr-18
THE TAPESTRY,1332450,1346,18,OCR,New Sale,990,11 to 15,98.0,Apr-18
DAHLIA PARK CONDOMINIUM,895000,840,17,OCR,Resale,1066,01 to 05,999.0,Apr-18
DAHLIA PARK CONDOMINIUM,950000,735,17,OCR,Resale,1292,01 to 05,999.0,Apr-18
BALLOTA PARK CONDOMINIUM,1290000,759,17,OCR,Resale,1701,01 to 05,999.0,Apr-18
OASIS @ ELIAS,1200000,851,18,OCR,Resale,1410,11 to 15,89.0,Apr-18
COCO PALMS,1689200,1341,18,OCR,New Sale,1259,11 to 15,89.0,Apr-18
THE TAPESTRY,828800,1375,18,OCR,New Sale,603,01 to 05,98.0,Apr-18
SEASTRAND,850000,963,18,OCR,Resale,883,06 to 10,92.0,Apr-18
THE TAPESTRY,708750,1496,18,OCR,New Sale,474,06 to 10,98.0,Apr-18
LIVIA,2100000,784,18,OCR,Resale,2680,11 to 15,89.0,Apr-18
TERRASSE,1290000,1120,19,OCR,Resale,1152,01 to 05,91.0,Apr-18
LA FIESTA,938000,1282,19,OCR,Resale,732,11 to 15,93.0,Apr-18
PARC VERA,820000,1044,19,OCR,Resale,786,01 to 05,91.0,Apr-18
THE MINTON,953000,1018,19,OCR,Resale,936,01 to 05,88.0,Apr-18
SUNGLADE,1360000,1192,19,OCR,Resale,1141,06 to 10,81.0,Apr-18
THE MINTON,1456000,1100,19,OCR,Resale,1324,06 to 10,88.0,Apr-18
THE MINTON,1030000,1052,19,OCR,Resale,980,11 to 15,88.0,Apr-18
FLO RESIDENCE,1320000,812,19,OCR,Resale,1625,01 to 05,92.0,Apr-18
CHANGI GREEN,1200000,1062,16,OCR,Resale,1130,01 to 05,999.0,Apr-18
TANAMERA CREST,938000,807,16,OCR,Resale,1163,01 to 05,81.0,Apr-18
FERRARIA PARK CONDOMINIUM,870000,929,17,OCR,Resale,936,06 to 10,999.0,Apr-18
CHANGI GREEN,898000,993,16,OCR,Resale,904,01 to 05,999.0,Apr-18
WATERFRONT KEY,1825000,1202,16,OCR,Resale,1518,11 to 15,88.0,Apr-18
COSTA DEL SOL,1780000,1323,16,OCR,Resale,1346,21 to 25,78.0,Apr-18
D'NEST,635000,1311,18,OCR,Resale,484,06 to 10,91.0,Apr-18
EASTPOINT GREEN,905000,801,18,OCR,Resale,1130,01 to 05,77.0,Apr-18
CHANGI RISE CONDOMINIUM,990000,786,18,OCR,Resale,1259,01 to 05,81.0,Apr-18
WATERVIEW,1157000,977,18,OCR,Resale,1184,01 to 05,91.0,Apr-18
AVILA GARDENS,1325000,755,17,OCR,Resale,1755,06 to 10,999.0,Apr-18
RIPPLE BAY,930000,1217,18,OCR,Resale,764,06 to 10,92.0,Apr-18
CARISSA PARK CONDOMINIUM,1100000,845,17,OCR,Resale,1302,01 to 05,999.0,Apr-18
THE INFLORA,515000,1113,17,OCR,Resale,463,01 to 05,93.0,Apr-18
THE TAPESTRY,656100,1385,18,OCR,New Sale,474,01 to 05,98.0,Apr-18
LIVIA,1088000,864,18,OCR,Resale,1259,11 to 15,89.0,Apr-18
WATERVIEW,830000,1056,18,OCR,Resale,786,11 to 15,91.0,Apr-18
RIVERSOUND RESIDENCE,1120000,963,19,OCR,Resale,1163,11 to 15,92.0,Apr-18
A TREASURE TROVE,1200000,1149,19,OCR,Resale,1044,11 to 15,92.0,Apr-18
A TREASURE TROVE,1380000,1221,19,OCR,Resale,1130,11 to 15,92.0,Apr-18
PARC CENTROS,678000,1465,19,OCR,Resale,463,11 to 15,93.0,Apr-18
KOVAN MELODY,1390000,1143,19,OCR,Resale,1216,16 to 20,85.0,Apr-18
URBAN VISTA,630000,1428,16,OCR,Resale,441,06 to 10,93.0,Apr-18
URBAN VISTA,700000,1384,16,OCR,Resale,506,01 to 05,93.0,Apr-18
LIGHTHOUSE,1300000,660,17,OCR,Resale,1970,01 to 05,74.0,Apr-18
THE BAYSHORE,920000,971,16,OCR,Resale,947,06 to 10,74.0,Apr-18
WATERFRONT WAVES,1045000,1079,16,OCR,Resale,969,11 to 15,88.0,Apr-18
LIVIA,1400000,910,18,OCR,Resale,1539,06 to 10,89.0,Apr-18
THE TAPESTRY,1514700,1340,18,OCR,New Sale,1130,06 to 10,98.0,Apr-18
ESTELLA GARDENS,625000,952,17,OCR,Resale,657,01 to 05,999.0,Apr-18
OASIS @ ELIAS,930000,726,18,OCR,Resale,1281,06 to 10,89.0,Apr-18
NV RESIDENCES,590000,899,18,OCR,Resale,657,01 to 05,89.0,Apr-18
CENTRAL VIEW,850000,868,19,OCR,Resale,980,01 to 05,79.0,Apr-18
CASA CAMBIO,635000,1513,19,OCR,Resale,420,01 to 05,999.0,Apr-18
A TREASURE TROVE,1180000,1130,19,OCR,Resale,1044,01 to 05,92.0,Apr-18
RIVERSOUND RESIDENCE,810000,1075,19,OCR,Resale,753,06 to 10,92.0,Apr-18
GRANDEUR 8,1418040,1080,20,OCR,Resale,1313,01 to 05,83.0,Apr-18
THE GARDENS AT BISHAN,1230000,1068,20,RCR,Resale,1152,11 to 15,78.0,Apr-18
THOMSON GRAND,1690000,1236,20,RCR,Resale,1367,11 to 15,91.0,Apr-18
PARC CENTROS,995000,973,19,OCR,Resale,1023,01 to 05,93.0,Apr-18
FLO RESIDENCE,990000,836,19,OCR,Resale,1184,01 to 05,92.0,Apr-18
WATERFRONT ISLE,1250000,1037,16,OCR,Resale,1206,01 to 05,90.0,Apr-18
OPTIMA @ TANAH MERAH,1005000,1153,16,OCR,Resale,872,01 to 05,89.0,Apr-18
GRANDEUR PARK RESIDENCES,1380000,1425,16,OCR,New Sale,969,01 to 05,97.0,Apr-18
CARISSA PARK CONDOMINIUM,1060000,801,17,OCR,Resale,1324,01 to 05,999.0,Apr-18
PARC OLYMPIA,1200000,729,17,OCR,Resale,1647,06 to 10,93.0,Apr-18
CHANGI COURT,1201888,1034,16,OCR,Resale,1163,01 to 05,999.0,Apr-18
WATERFRONT KEY,1080000,1180,16,OCR,Resale,915,11 to 15,88.0,Apr-18
MELVILLE PARK,900000,653,18,OCR,Resale,1378,06 to 10,73.0,Apr-18
DAHLIA PARK CONDOMINIUM,898000,818,17,OCR,Resale,1098,06 to 10,999.0,Apr-18
MELVILLE PARK,891000,662,18,OCR,Resale,1346,06 to 10,73.0,Apr-18
RIVERSOUND RESIDENCE,1085000,933,19,OCR,Resale,1163,11 to 15,92.0,Apr-18
RIVERSAILS,1450000,1061,19,OCR,Resale,1367,06 to 10,92.0,Apr-18
ELIAS GREEN,1138000,696,18,OCR,Resale,1636,06 to 10,72.0,Apr-18
PARC CENTROS,640000,1351,19,OCR,Resale,474,06 to 10,93.0,Apr-18
CLOVER BY THE PARK,1830000,1141,20,RCR,Resale,1604,11 to 15,88.0,Apr-18
THE GARDENS AT BISHAN,1215000,1055,20,RCR,Resale,1152,06 to 10,78.0,Apr-18
KOVAN MELODY,1375000,1130,19,OCR,Resale,1216,01 to 05,85.0,Apr-18
CARDIFF RESIDENCE,568000,1353,19,OCR,Resale,420,01 to 05,92.0,Apr-18
COSTA DEL SOL,1700000,1153,16,OCR,Resale,1475,01 to 05,78.0,Apr-18
BAYSHORE PARK,1280000,1091,16,OCR,Resale,1173,21 to 25,63.0,Apr-18
WATERFRONT KEY,1600000,1152,16,OCR,Resale,1389,06 to 10,88.0,Apr-18
GRANDEUR PARK RESIDENCES,1151112,1304,16,OCR,New Sale,883,06 to 10,97.0,Apr-18
ARCHIPELAGO,700000,1327,16,OCR,Resale,527,01 to 05,92.0,Apr-18
THE TAPESTRY,672300,1420,18,OCR,New Sale,474,06 to 10,98.0,Apr-18
D'NEST,590000,1218,18,OCR,Resale,484,06 to 10,91.0,Apr-18
WATERVIEW,1165000,1031,18,OCR,Resale,1130,11 to 15,91.0,Apr-18
MY MANHATTAN,1200000,1360,18,OCR,Resale,883,11 to 15,91.0,Apr-18
LA FIESTA,908000,1205,19,OCR,Resale,753,01 to 05,93.0,Apr-18
RIS GRANDEUR,1180000,914,18,OCR,Resale,1292,01 to 05,999.0,Apr-18
PARC CENTROS,1050000,1060,19,OCR,Resale,990,06 to 10,93.0,Apr-18
BLISS@KOVAN,2168000,920,19,OCR,Resale,2357,01 to 05,999.0,Apr-18
OASIS GARDEN,1750000,1187,19,RCR,Resale,1475,16 to 20,999.0,Apr-18
CLOVER BY THE PARK,1968000,1227,20,RCR,Resale,1604,06 to 10,88.0,Apr-18
THE GARDENS AT BISHAN,1560000,993,20,RCR,Resale,1572,01 to 05,78.0,Apr-18
RIVERSOUND RESIDENCE,1160000,998,19,OCR,Resale,1163,11 to 15,92.0,Apr-18
THE TAPESTRY,669060,1413,18,OCR,New Sale,474,06 to 10,98.0,Apr-18
THE TAPESTRY,1026270,1255,18,OCR,New Sale,818,11 to 15,98.0,Apr-18
THE TAPESTRY,688500,1454,18,OCR,New Sale,474,11 to 15,98.0,Apr-18
